# assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material
GCA_000284635.1	PRJDB88	SAMD00061064	NA	na	1172562	213	Helicobacter cinaedi PAGU611	strain=PAGU611	NA	latest	Complete Genome	Major	Full	2012-04-23	ASM28463v1	Kazusa DNA Research Institute	GCF_000284635.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/284/635/GCA_000284635.1_ASM28463v1	NA	NA
GCA_000349975.1	PRJDB113	SAMD00061010	NA	representative genome	537971	213	Helicobacter cinaedi CCUG 18818 = ATCC BAA-847	strain=ATCC BAA-847	NA	latest	Complete Genome	Major	Full	2012-07-18	ASM34997v1	National Center for Global Health and Medicine	GCF_000349975.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/349/975/GCA_000349975.1_ASM34997v1	NA	assembly from type material
GCA_003213725.2	PRJDB6556	SAMD00106671	NA	na	213	213	Helicobacter cinaedi	strain=P01D0000	NA	latest	Complete Genome	Major	Full	2018-06-09	ASM321372v2	Microbiology, Graduate School of Medical Sciences, Kyushu University	GCF_003213725.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/213/725/GCA_003213725.2_ASM321372v2	NA	NA
GCA_003213825.2	PRJDB6556	SAMD00106672	NA	na	213	213	Helicobacter cinaedi	strain=P03D0629	NA	latest	Complete Genome	Major	Full	2018-06-09	ASM321382v2	Microbiology, Graduate School of Medical Sciences, Kyushu University	GCF_003213825.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/213/825/GCA_003213825.2_ASM321382v2	NA	NA
GCA_003214155.2	PRJDB6556	SAMD00106675	NA	na	213	213	Helicobacter cinaedi	strain=P06D0798	NA	latest	Complete Genome	Major	Full	2018-06-09	ASM321415v2	Microbiology, Graduate School of Medical Sciences, Kyushu University	GCF_003214155.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/214/155/GCA_003214155.2_ASM321415v2	NA	NA
GCA_003574195.1	PRJDB4571	SAMD00047012	NA	na	213	213	Helicobacter cinaedi	strain=MRY08-1234	NA	latest	Complete Genome	Major	Full	2017-11-22	ASM357419v1	National Institute of Infectious Diseases	GCF_003574195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/574/195/GCA_003574195.1_ASM357419v1	NA	NA
GCA_902381705.1	PRJEB33885	SAMEA5850935	NA	na	213	213	Helicobacter cinaedi	NA	MGYG-HGUT-01432	latest	Complete Genome	Major	Full	2019-08-10	UHGG_MGYG-HGUT-01432	EMG	GCF_902381705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/381/705/GCA_902381705.1_UHGG_MGYG-HGUT-01432	NA	NA
GCA_000200595.1	PRJEA61189	SAMEA2272759	NA	representative genome	936155	214	Helicobacter felis ATCC 49179	strain=ATCC 49179	NA	latest	Complete Genome	Major	Full	2011-03-15	ASM20059v1	Wellcome Trust Sanger Institute	GCF_000200595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/200/595/GCA_000200595.1_ASM20059v1	NA	assembly from type material
GCA_000091985.1	PRJEA40677	SAMEA2272735	NA	na	679897	217	Helicobacter mustelae 12198	strain=12198	NA	latest	Complete Genome	Major	Full	2010-03-11	ASM9198v1	Wellcome Trust Sanger Institute	GCF_000091985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/091/985/GCA_000091985.1_ASM9198v1	NA	NA
GCA_900476215.1	PRJEB6403	SAMEA44549668	NA	representative genome	217	217	Helicobacter mustelae	strain=NCTC12198	NA	latest	Complete Genome	Major	Full	2018-06-17	51342_F02	SC	GCF_900476215.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/476/215/GCA_900476215.1_51342_F02	NA	assembly from type material
GCA_004328865.1	PRJNA326207	SAMN05271512	NA	representative genome	227	227	Pseudoalteromonas carrageenovora	strain=KCTC 22325	NA	latest	Complete Genome	Major	Full	2019-03-06	ASM432886v1	Korea Research Institute of Bioscience and Biotechnology	GCF_004328865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/004/328/865/GCA_004328865.1_ASM432886v1	NA	NA
GCA_000026085.1	PRJNA15713	SAMEA3138224	NA	na	326442	228	Pseudoalteromonas haloplanktis TAC125	strain=TAC125	NA	latest	Complete Genome	Major	Full	2005-10-03	ASM2608v1	CNRS	GCF_000026085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/026/085/GCA_000026085.1_ASM2608v1	NA	NA
GCA_000008145.1	PRJNA9619	SAMN02604220	NA	na	262698	235	Brucella abortus bv. 1 str. 9-941	strain=9-941	NA	latest	Complete Genome	Major	Full	2005-04-05	ASM814v1	University of Minnesota	GCF_000008145.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/145/GCA_000008145.1_ASM814v1	NA	NA
GCA_000018725.1	PRJNA18999	SAMN02604294	NA	na	430066	235	Brucella abortus S19	strain=S19	NA	latest	Complete Genome	Major	Full	2008-05-22	ASM1872v1	Virginia Bioinformatics Institute	GCF_000018725.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/018/725/GCA_000018725.1_ASM1872v1	NA	NA
GCA_000054005.1	PRJNA16203	SAMEA3138256	NA	representative genome	359391	235	Brucella abortus 2308	strain=2308	NA	latest	Complete Genome	Major	Full	2005-12-01	ASM5400v1	Oak Ridge National Laboratory	GCF_000054005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/054/005/GCA_000054005.1_ASM5400v1	NA	NA
GCA_000238175.1	PRJNA74681	SAMN02603577	NA	na	1104320	235	Brucella abortus A13334	strain=A13334	NA	latest	Complete Genome	Major	Full	2011-12-15	ASM23817v1	Macrogen	GCF_000238175.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/238/175/GCA_000238175.1_ASM23817v1	NA	NA
GCA_000834235.1	PRJNA240104	SAMN03074081	NA	na	632	632	Yersinia pestis	strain=PBM19	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83423v1	Los Alamos National Laboratory	GCF_000834235.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/235/GCA_000834235.1_ASM83423v1	NA	NA
GCA_000834275.1	PRJNA240100	SAMN02769655	NA	na	632	632	Yersinia pestis	strain=Harbin35	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83427v1	Los Alamos National Laboratory	GCF_000834275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/275/GCA_000834275.1_ASM83427v1	NA	NA
GCA_000834315.1	PRJNA239345	SAMN03121016	NA	na	386656	632	Yersinia pestis Pestoides F	strain=Pestoides F	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83431v1	Los Alamos National Laboratory	GCF_000834315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/315/GCA_000834315.1_ASM83431v1	NA	NA
GCA_000834335.1	PRJNA239341	SAMN03120838	NA	na	632	632	Yersinia pestis	strain=Shasta	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83433v1	Los Alamos National Laboratory	GCF_000834335.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/335/GCA_000834335.1_ASM83433v1	NA	NA
GCA_000834495.1	PRJNA240085	SAMN03145064	NA	na	632	632	Yersinia pestis	strain=El Dorado	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83449v1	Los Alamos National Laboratory	GCF_000834495.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/495/GCA_000834495.1_ASM83449v1	NA	NA
GCA_000834755.1	PRJNA240102	SAMN03074123	NA	na	1035377	632	Yersinia pestis A1122	strain=A1122	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83475v1	Los Alamos National Laboratory	GCF_000834755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/755/GCA_000834755.1_ASM83475v1	NA	NA
GCA_000834775.1	PRJNA240106	SAMN03161124	NA	na	632	632	Yersinia pestis	strain=Dodson	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83477v1	Los Alamos National Laboratory	GCF_000834775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/775/GCA_000834775.1_ASM83477v1	NA	NA
GCA_000834825.1	PRJNA240103	SAMN03174669	NA	na	360102	632	Yersinia pestis Antiqua	strain=Antiqua	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83482v1	Los Alamos National Laboratory	GCF_000834825.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/825/GCA_000834825.1_ASM83482v1	NA	NA
GCA_000834845.1	PRJNA240101	SAMN03177051	NA	na	349746	632	Yersinia pestis Angola	strain=Angola	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83484v1	Los Alamos National Laboratory	GCF_000834845.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/845/GCA_000834845.1_ASM83484v1	NA	NA
GCA_000834885.1	PRJNA240108	SAMN03216612	NA	na	632	632	Yersinia pestis	strain=Nicholisk 41	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83488v1	Los Alamos National Laboratory	GCF_000834885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/885/GCA_000834885.1_ASM83488v1	NA	NA
GCA_000834925.1	PRJNA240105	SAMN03218157	NA	na	748678	632	Yersinia pestis str. Pestoides B	strain=Pestoides B	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83492v1	Los Alamos National Laboratory	GCF_000834925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/925/GCA_000834925.1_ASM83492v1	NA	NA
GCA_000834985.1	PRJNA240082	SAMN03202985	NA	na	649716	632	Yersinia pestis Pestoides G	strain=Pestoides G	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83498v1	Los Alamos National Laboratory	GCF_000834985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/985/GCA_000834985.1_ASM83498v1	NA	NA
GCA_001188695.1	PRJNA208250	SAMN03782999	NA	na	1345703	632	Yersinia pestis 1412	strain=1412	NA	latest	Complete Genome	Major	Full	2015-07-30	ASM118869v1	Los Alamos National Laboratory	GCF_001188695.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/695/GCA_001188695.1_ASM118869v1	NA	NA
GCA_001188715.1	PRJNA208252	SAMN03783057	NA	na	1345705	632	Yersinia pestis 1522	strain=1522	NA	latest	Complete Genome	Major	Full	2015-07-30	ASM118871v1	Los Alamos National Laboratory	GCF_001188715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/715/GCA_001188715.1_ASM118871v1	NA	NA
GCA_001188755.1	PRJNA208258	SAMN03943569	NA	na	1345708	632	Yersinia pestis 8787	strain=8787	NA	latest	Complete Genome	Major	Full	2015-07-30	ASM118875v1	Los Alamos National Laboratory	GCF_001188755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/755/GCA_001188755.1_ASM118875v1	NA	NA
GCA_001188775.1	PRJNA208257	SAMN03943654	NA	na	1345707	632	Yersinia pestis 3770	strain=3770	NA	latest	Complete Genome	Major	Full	2015-07-30	ASM118877v1	Los Alamos National Laboratory	GCF_001188775.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/775/GCA_001188775.1_ASM118877v1	NA	NA
GCA_001188795.1	PRJNA208254	SAMN03943655	NA	na	1345706	632	Yersinia pestis 3067	strain=3067	NA	latest	Complete Genome	Major	Full	2015-07-30	ASM118879v1	Los Alamos National Laboratory	GCF_001188795.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/795/GCA_001188795.1_ASM118879v1	NA	NA
GCA_001188815.1	PRJNA208249	SAMN03941711	NA	na	1345702	632	Yersinia pestis 2944	strain=2944	NA	latest	Complete Genome	Major	Full	2015-07-30	ASM118881v1	Los Alamos National Laboratory	GCF_001188815.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/815/GCA_001188815.1_ASM118881v1	NA	NA
GCA_001188935.1	PRJNA208251	SAMN03783058	NA	na	1345704	632	Yersinia pestis 1413	strain=1413	NA	latest	Complete Genome	Major	Full	2015-07-30	ASM118893v1	Los Alamos National Laboratory	GCF_001188935.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/188/935/GCA_001188935.1_ASM118893v1	NA	NA
GCA_001293415.1	PRJNA235224	SAMN03160774	NA	na	214092	632	Yersinia pestis CO92	strain=CO92	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM129341v1	Los Alamos National Laboratory	GCF_001293415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/293/415/GCA_001293415.1_ASM129341v1	NA	NA
GCA_001693595.1	PRJNA326509	SAMN05282282	NA	na	632	632	Yersinia pestis	strain=Cadman	NA	latest	Complete Genome	Major	Full	2016-07-26	ASM169359v1	USAMRIID	GCF_001693595.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/693/595/GCA_001693595.1_ASM169359v1	NA	NA
GCA_002005285.1	PRJNA357858	SAMN06161235	NA	na	632	632	Yersinia pestis	strain=195/P	NA	latest	Complete Genome	Major	Full	2017-02-21	ASM200528v1	NHGRI/NIH	GCF_002005285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/005/285/GCA_002005285.1_ASM200528v1	NA	NA
GCA_003798205.1	PRJNA231221	SAMN10228583	NA	na	632	632	Yersinia pestis	strain=FDAARGOS_603	NA	latest	Complete Genome	Major	Full	2018-11-20	ASM379820v1	US Food and Drug Administration	GCF_003798205.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/205/GCA_003798205.1_ASM379820v1	NA	NA
GCA_003798225.1	PRJNA231221	SAMN10228581	NA	representative genome	632	632	Yersinia pestis	strain=FDAARGOS_601	NA	latest	Complete Genome	Major	Full	2018-11-20	ASM379822v1	US Food and Drug Administration	GCF_003798225.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/225/GCA_003798225.1_ASM379822v1	NA	NA
GCA_003798345.1	PRJNA231221	SAMN10228582	NA	na	632	632	Yersinia pestis	strain=FDAARGOS_602	NA	latest	Complete Genome	Major	Full	2018-11-20	ASM379834v1	US Food and Drug Administration	GCF_003798345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/345/GCA_003798345.1_ASM379834v1	NA	NA
GCA_009295925.1	PRJNA269675	SAMN12991205	NA	na	632	632	Yersinia pestis	strain=SCPM-O-B-6899 (231)	NA	latest	Complete Genome	Major	Full	2019-10-24	ASM929592v1	SRCAMB	GCF_009295925.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/295/925/GCA_009295925.1_ASM929592v1	NA	NA
GCA_009295945.1	PRJNA269675	SAMN12991206	NA	na	632	632	Yersinia pestis	strain=SCPM-O-DNA-18 (I-3113)	NA	latest	Complete Genome	Major	Full	2019-10-24	ASM929594v1	SRCAMB	GCF_009295945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/295/945/GCA_009295945.1_ASM929594v1	NA	NA
GCA_009295965.1	PRJNA269675	SAMN12991208	NA	na	632	632	Yersinia pestis	strain=SCPM-O-B-5935 (I-1996)	NA	latest	Complete Genome	Major	Full	2019-10-24	ASM929596v1	SRCAMB	GCF_009295965.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/295/965/GCA_009295965.1_ASM929596v1	NA	NA
GCA_009295985.1	PRJNA269675	SAMN07176224	NA	na	1234662	632	Yersinia pestis subsp. pestis bv. Medievalis	strain=SCPM-O-B-6530	NA	latest	Complete Genome	Major	Full	2019-10-24	ASM929598v1	SRCAMB	GCF_009295985.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/295/985/GCA_009295985.1_ASM929598v1	NA	NA
GCA_009296005.1	PRJNA269675	SAMN12991209	NA	na	632	632	Yersinia pestis	strain=SCPM-O-B-6291 (C-25)	NA	latest	Complete Genome	Major	Full	2019-10-24	ASM929600v1	SRCAMB	GCF_009296005.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/296/005/GCA_009296005.1_ASM929600v1	NA	NA
GCA_009363195.1	PRJNA269675	SAMN12991207	NA	na	632	632	Yersinia pestis	strain=SCPM-O-B-5942 (I-2638)	NA	latest	Complete Genome	Major	Full	2019-10-27	ASM936319v1	SRCAMB	GCF_009363195.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/363/195/GCA_009363195.1_ASM936319v1	NA	NA
GCA_000016945.1	PRJNA16070	SAMN02604043	NA	na	349747	633	Yersinia pseudotuberculosis IP 31758	strain=IP 31758	NA	latest	Complete Genome	Major	Full	2007-07-23	ASM1694v1	TIGR	GCF_000016945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/945/GCA_000016945.1_ASM1694v1	NA	NA
GCA_000019465.1	PRJNA28743	SAMN02598457	NA	na	502800	633	Yersinia pseudotuberculosis YPIII	strain=YPIII	NA	latest	Complete Genome	Major	Full	2008-03-11	ASM1946v1	US DOE Joint Genome Institute	GCF_000019465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/019/465/GCA_000019465.1_ASM1946v1	NA	NA
GCA_000020085.1	PRJNA28745	SAMN02598458	NA	na	502801	633	Yersinia pseudotuberculosis PB1/+	strain=PB1/+	NA	latest	Complete Genome	Major	Full	2008-04-25	ASM2008v1	US DOE Joint Genome Institute	GCF_000020085.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/085/GCA_000020085.1_ASM2008v1	NA	NA
GCA_000047365.1	PRJNA12950	SAMEA3138251	NA	na	273123	633	Yersinia pseudotuberculosis IP 32953	strain=IP 32953	NA	latest	Complete Genome	Major	Full	2006-06-12	ASM4736v1	Lawrence Livermore National Laboratory	GCF_000047365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/047/365/GCA_000047365.1_ASM4736v1	NA	NA
GCA_000750315.1	PRJNA243514	SAMN02906921	NA	na	633	633	Yersinia pseudotuberculosis	strain=ATCC 6904	NA	latest	Complete Genome	Major	Full	2014-09-09	ASM75031v1	Los Alamos National Laboratory	GCF_000750315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/750/315/GCA_000750315.1_ASM75031v1	NA	NA
GCA_000834295.1	PRJNA239344	SAMN03121000	NA	na	273123	633	Yersinia pseudotuberculosis IP 32953	strain=IP32953	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83429v1	Los Alamos National Laboratory	GCF_000834295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/295/GCA_000834295.1_ASM83429v1	NA	NA
GCA_000834355.1	PRJNA239351	SAMN03140242	NA	na	633	633	Yersinia pseudotuberculosis	strain=MD67	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83435v1	Los Alamos National Laboratory	GCF_000834355.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/355/GCA_000834355.1_ASM83435v1	NA	NA
GCA_000834375.1	PRJNA239354	SAMN03144706	NA	na	502800	633	Yersinia pseudotuberculosis YPIII	strain=YPIII	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83437v1	Los Alamos National Laboratory	GCF_000834375.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/375/GCA_000834375.1_ASM83437v1	NA	NA
GCA_000834415.1	PRJNA239350	SAMN03140184	NA	na	633	633	Yersinia pseudotuberculosis	strain=EP2/+	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83441v1	Los Alamos National Laboratory	GCF_000834415.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/415/GCA_000834415.1_ASM83441v1	NA	NA
GCA_000834435.1	PRJNA239355	SAMN03144835	NA	na	633	633	Yersinia pseudotuberculosis	strain=1	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83443v1	Los Alamos National Laboratory	GCF_000834435.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/435/GCA_000834435.1_ASM83443v1	NA	NA
GCA_000834475.1	PRJNA239343	SAMN03144729	NA	na	502801	633	Yersinia pseudotuberculosis PB1/+	strain=PB1/+	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83447v1	Los Alamos National Laboratory	GCF_000834475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/475/GCA_000834475.1_ASM83447v1	NA	NA
GCA_000834945.1	PRJNA239349	SAMN03223176	NA	na	748672	633	Yersinia pseudotuberculosis str. PA3606	strain=Pa3606	NA	latest	Complete Genome	Major	Full	2015-02-09	ASM83494v1	Los Alamos National Laboratory	GCF_000834945.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/834/945/GCA_000834945.1_ASM83494v1	NA	NA
GCA_003546905.1	PRJNA231221	SAMN06173355	NA	na	633	633	Yersinia pseudotuberculosis	strain=FDAARGOS_342	NA	latest	Complete Genome	Major	Full	2018-09-11	ASM354690v1	US Food and Drug Administration	GCF_003546905.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/546/905/GCA_003546905.1_ASM354690v1	NA	NA
GCA_003798285.1	PRJNA231221	SAMN10228563	NA	na	633	633	Yersinia pseudotuberculosis	strain=FDAARGOS_583	NA	latest	Complete Genome	Major	Full	2018-11-20	ASM379828v1	US Food and Drug Administration	GCF_003798285.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/285/GCA_003798285.1_ASM379828v1	NA	NA
GCA_003798305.1	PRJNA231221	SAMN10228559	NA	na	633	633	Yersinia pseudotuberculosis	strain=FDAARGOS_579	NA	latest	Complete Genome	Major	Full	2018-11-20	ASM379830v1	US Food and Drug Administration	GCF_003798305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/305/GCA_003798305.1_ASM379830v1	NA	NA
GCA_003798385.1	PRJNA231221	SAMN10228564	NA	na	633	633	Yersinia pseudotuberculosis	strain=FDAARGOS_584	NA	latest	Complete Genome	Major	Full	2018-11-20	ASM379838v1	US Food and Drug Administration	GCF_003798385.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/385/GCA_003798385.1_ASM379838v1	NA	NA
GCA_003798405.1	PRJNA231221	SAMN10228562	NA	na	633	633	Yersinia pseudotuberculosis	strain=FDAARGOS_582	NA	latest	Complete Genome	Major	Full	2018-11-20	ASM379840v1	US Food and Drug Administration	GCF_003798405.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/405/GCA_003798405.1_ASM379840v1	NA	NA
GCA_003798425.1	PRJNA231221	SAMN10228561	NA	na	633	633	Yersinia pseudotuberculosis	strain=FDAARGOS_581	NA	latest	Complete Genome	Major	Full	2018-11-20	ASM379842v1	US Food and Drug Administration	GCF_003798425.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/425/GCA_003798425.1_ASM379842v1	NA	NA
GCA_003798445.1	PRJNA231221	SAMN10228560	NA	na	633	633	Yersinia pseudotuberculosis	strain=FDAARGOS_580	NA	latest	Complete Genome	Major	Full	2018-11-20	ASM379844v1	US Food and Drug Administration	GCF_003798445.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/798/445/GCA_003798445.1_ASM379844v1	NA	NA
GCA_003814345.1	PRJNA475632	SAMN09397111	NA	na	633	633	Yersinia pseudotuberculosis	strain=IP2666pIB1	NA	latest	Complete Genome	Major	Full	2018-11-23	ASM381434v1	University of California - Santa Cruz	GCF_003814345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/814/345/GCA_003814345.1_ASM381434v1	NA	NA
GCA_008693365.1	PRJNA231221	SAMN11056380	NA	na	633	633	Yersinia pseudotuberculosis	strain=FDAARGOS_665	NA	latest	Complete Genome	Major	Full	2019-09-25	ASM869336v1	US Food and Drug Administration	GCF_008693365.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/008/693/365/GCA_008693365.1_ASM869336v1	NA	NA
GCA_900092345.1	PRJEB14046	SAMEA3988158	NA	na	633	633	Yersinia pseudotuberculosis	NA	NZYP4713	latest	Complete Genome	Major	Full	2017-01-03	YP4713	UNIVERSITY OF MELBOURNE	GCF_900092345.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/092/345/GCA_900092345.1_YP4713	NA	NA
GCA_900635715.1	PRJEB6403	SAMEA2689764	NA	na	633	633	Yersinia pseudotuberculosis	strain=NCTC8480	NA	latest	Complete Genome	Major	Full	2018-12-20	32473_H02	SC	GCF_900635715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/715/GCA_900635715.1_32473_H02	NA	NA
GCA_900635755.1	PRJEB6403	SAMEA2771253	NA	na	633	633	Yersinia pseudotuberculosis	strain=NCTC10217	NA	latest	Complete Genome	Major	Full	2018-12-20	33467_B01	SC	GCF_900635755.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/635/755/GCA_900635755.1_33467_B01	NA	NA
GCA_900636705.1	PRJEB6403	SAMEA3729943	NA	na	633	633	Yersinia pseudotuberculosis	strain=NCTC3571	NA	latest	Complete Genome	Major	Full	2018-12-20	43908_A02	SC	GCF_900636705.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/705/GCA_900636705.1_43908_A02	NA	NA
GCA_900637475.1	PRJEB6403	SAMEA4442458	NA	representative genome	633	633	Yersinia pseudotuberculosis	strain=NCTC10275	NA	latest	Complete Genome	Major	Full	2018-12-20	51108_B01	SC	GCF_900637475.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/637/475/GCA_900637475.1_51108_B01	NA	assembly from type material
GCA_000020865.1	PRJNA28539	SAMN02603129	NA	representative genome	498217	636	Edwardsiella tarda EIB202	strain=EIB202	NA	latest	Complete Genome	Major	Full	2009-11-13	ASM2086v1	Chinese National Human Genome Center at Shanghai	GCF_000020865.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/020/865/GCA_000020865.1_ASM2086v1	NA	NA
GCA_000146305.1	PRJNA45969	SAMN02603331	NA	na	718251	636	Edwardsiella tarda FL6-60	strain=FL6-60	NA	latest	Complete Genome	Major	Full	2010-08-26	ASM14630v1	IBL Leiden University	GCF_000146305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/146/305/GCA_000146305.1_ASM14630v1	NA	NA
GCA_001011055.1	PRJNA282821	SAMN03579666	NA	na	636	636	Edwardsiella tarda	strain=FL95-01	NA	latest	Complete Genome	Major	Full	2015-05-21	ASM101105v1	Mississippi State University	GCF_001011055.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/011/055/GCA_001011055.1_ASM101105v1	NA	NA
